Segment,Aspect: PFV,Case: COMPV,Comparison: SPRL,Gender: MASC,Mood: IMP,Mood: SBJV,Number: PL,Number: SG,Part of Speech: ADJ,Part of Speech: N,Part of Speech: V,Person: 1,Person: 2,Person: 3,Polarity: POS,Tense: PRS,Tense: PST,Count
'p'orth,,,,,,,1.0,,,1,,,,,,,,1
a,0.005208333333333333,0.010416666666666666,0.005208333333333333,,,,0.6770833333333334,,0.015625,0.6770833333333334,0.359375,,,,,0.09375,0.010416666666666666,192
ads,,,,,,,1.0,,,1.0,,,,,,,,1
after,,,,,,,1.0,,,1.0,0.09090909090909091,,,,,,,11
al,,,,,,,0.5509259259259259,,,0.5509259259259259,0.49537037037037035,,,,,0.1712962962962963,,432
an,0.024096385542168676,0.012048192771084338,0.012048192771084338,,,,0.6867469879518072,,0.024096385542168676,0.6867469879518072,0.39759036144578314,,,,,0.1566265060240964,0.024096385542168676,83
anders,,,,,,,1,,,1,0.5,,,,,,,2
ans,,,,,,,1.0,,,1.0,,,,,,,,4
ar,,,,,,,0.72,,,0.72,0.36,,,,,0.12,,25
at,,,,,,,0.1951219512195122,,,0.1951219512195122,0.8048780487804879,,,,,0.2926829268292683,,41
av,,,,,,,,,,,1.0,,,,,,,1
aw,,,,,,,,,,,1.0,,,,,,,1
bod,,,,,,,1.0,,,1.0,,,,,,,,1
bunds,,,,,,,1.0,,,1.0,,,,,,,,1
c,,0.018018018018018018,0.018018018018018018,,,,0.17117117117117117,,0.036036036036036036,0.17117117117117117,0.8108108108108109,,,,,0.3963963963963964,,111
cal,,,,,,,0.8888888888888888,,,0.8888888888888888,0.1111111111111111,,,,,,,9
cation,,,,,,,1.0,,,1.0,,,,,,,,25
ce,,,0.008928571428571428,,,,0.8660714285714286,,0.008928571428571428,0.8660714285714286,0.4107142857142857,,,,,0.008928571428571428,,112
choco,,,,,,,1.0,,,1.0,,,,,,,,1
ci,,,,,,,0.8936170212765957,,,0.8936170212765957,0.14893617021276595,,,,,0.0425531914893617,,47
ck,,,,,,,0.5357142857142857,,,0.5357142857142857,0.6785714285714286,,,,,0.21428571428571427,,28
ction,,,,,,,1.0,,,1.0,,,,,,,,1
d,0.025,,,,,,0.15,,,0.15,0.9,,,,,0.3,0.075,40
dioc,,,,,,,1.0,,,1.0,,,,,,,,1
divo,,,,,,,0.5,,,0.5,0.75,,,,,0.25,,4
dou,,,,,,,,,,,1.0,,,,,,,1
duddi,,,,,,,1.0,,,1.0,,,,,,,,1
dunga,,,,,,,1.0,,,1.0,,,,,,,,1
ed,0.006361829025844931,0.0013916500994035786,0.0017892644135188867,,,0.0011928429423459245,0.008548707753479125,0.0035785288270377734,0.0035785288270377734,0.0075546719681908545,1,0.0011928429423459245,0.0011928429423459245,0.0011928429423459245,,0.0019880715705765406,0.012723658051689861,5030
el,,0.015151515151515152,0.015151515151515152,,,,0.5909090909090909,,0.030303030303030304,0.5909090909090909,0.5303030303030303,,,,,0.18181818181818182,,66
en,,,,,,,0.3619047619047619,,,0.3619047619047619,0.6857142857142857,,,,,0.12380952380952381,0.2857142857142857,105
er,0.00040567951318458417,0.18661257606490872,0.0016227180527383367,,0.00040567951318458417,0.00040567951318458417,0.6689655172413793,0.0016227180527383367,0.1874239350912779,0.6697768762677485,0.21784989858012171,0.0008113590263691683,0.00040567951318458417,0.00040567951318458417,,0.06450304259634888,0.002028397565922921,2465
ers,,,,,,,1.0,,,1,0.013994910941475827,,,,,,,786
es,,,,,,,0.9643551523007129,,0.0006480881399870382,0.9637070641607258,0.32274789371354506,,,,,0.0006480881399870382,,1543
est,,,0.9393063583815029,,,,0.017341040462427744,,0.9335260115606936,0.023121387283236993,0.06358381502890173,,,,,0.02023121387283237,,346
ette,,,,,,,1.0,,,1.0,,,,,,,,6
ez,,,,,,,1.0,,,1.0,,,,,,,,1
ful,,,,,,,0.8888888888888888,,,1.0,,,,,0.1111111111111111,,,9
g,,,,,,,0.3695652173913043,,,0.3695652173913043,0.717391304347826,,,,,0.2826086956521739,,46
ge,,0.02857142857142857,0.02857142857142857,,,,0.8285714285714286,,0.05714285714285714,0.8285714285714286,0.5142857142857142,,,,,0.05714285714285714,,35
gh,,,,,,,1.0,,,1.0,0.5,,,,,,,2
hi,,,,,,,1.0,,,1.0,,,,,,,,2
hob,,,,,,,,,,,1.0,,,,,1.0,,1
hs,,,,,,,1.0,,,1.0,,,,,,,,4
i,,0.1958762886597938,0.13402061855670103,,,,0.5319587628865979,,0.3319587628865979,0.5298969072164949,0.24536082474226803,,,,,0.04536082474226804,,485
ia,,,,,,,1,,,1,,,,,,,,22
ial,,,,,,,1.0,,,1.0,,,,,,,,1
ian,,,,,,,1.0,,,1.0,,,,,,,,33
ic,,,,,,,0.8823529411764706,,,0.8823529411764706,0.21176470588235294,,,,,0.047058823529411764,,85
ient,,,,,,,1.0,,,1.0,,,,,,,,2
im,,,,,,,1.0,,,1.0,,,,,,,,1
in,,,,,,,0.7226890756302521,,,0.7226890756302521,0.35294117647058826,,,,,0.11764705882352941,0.025210084033613446,119
ina,,,,,,,0.16666666666666666,,,0.16666666666666666,0.8333333333333334,,,,,0.3333333333333333,,6
ing,,0.0005564830272676684,0.0009274717121127806,,,,0.08050454461138935,,0.0014839547393804488,0.08069003895381191,0.9341495084399926,,,,,0.9337785197551475,,5391
is,,,,,,,0.17679558011049723,,,0.17679558011049723,0.8232044198895028,,,,,0.35911602209944754,,181
ise,,,,,,,0.1111111111111111,,,0.1111111111111111,0.9259259259259259,,,,,,,27
ish,,,,,,,0.5,,,0.5,0.6,,,,,0.2,,20
ist,,,,,,,0.9589552238805971,,,0.9664179104477612,0.033582089552238806,,,,,0.011194029850746268,,268
ists,,,,,,,1.0,,,1.0,,,,,,,,23
iti,,,,,,,1,,,1,0.03529411764705882,,,,,0.011764705882352941,,85
iz,,,,,,,0.044642857142857144,,,0.044642857142857144,0.9642857142857143,,,,,0.4732142857142857,,224
ize,,,,,,,0.07462686567164178,,,0.07462686567164178,0.9402985074626866,,,,,,,67
ized,,,,,,,,,,,1.0,,,,,,,55
l,0.0036231884057971015,,,,,,0.18840579710144928,,,0.18840579710144928,0.855072463768116,,,,,0.4057971014492754,0.007246376811594203,276
la,,,,,,,1.0,,,1.0,0.1111111111111111,,,,,,,9
ld,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,,,,,,,3
le,,,,,,,0.7602739726027398,,,0.7876712328767124,0.6095890410958904,,0.0273972602739726,,,0.06164383561643835,,146
libre,,,,,,,1.0,,,1.0,,,,,,,,1
ll,0.014492753623188406,,,,,,0.34782608695652173,,,0.34782608695652173,0.8985507246376812,,,,,0.36231884057971014,0.028985507246376812,69
lla,,,,,,,1.0,,,1.0,,,,,,,,7
m,,0.05405405405405406,0.02702702702702703,,,,0.4864864864864865,,0.08108108108108109,0.4864864864864865,0.4864864864864865,,,,,0.16216216216216217,,37
malform,,,,,,,1.0,,,1.0,,,,,,,,1
mega,,,,,,,1.0,,,1.0,0.05,,,,,,,20
ment,,,,,,,0.9244186046511628,,,0.9244186046511628,0.10465116279069768,,,,,0.029069767441860465,,172
midwest,,,,,,,1.0,,,1.0,,,,,,,,1
n,,0.006172839506172839,0.006172839506172839,,,,0.36419753086419754,,0.012345679012345678,0.36419753086419754,0.7160493827160493,,,,,0.19753086419753085,0.2222222222222222,162
na,,,,,,,0.8125,,,0.8125,0.1875,,,,,,,16
nd,,,,,,,0.16666666666666666,,,0.16666666666666666,0.8333333333333334,,,,,0.16666666666666666,,6
ng,0.09375,,,,,,0.09375,,,0.09375,1.0,,,,,0.6875,0.125,32
non,,,,,,,0.9714285714285714,,,0.9714285714285714,0.02857142857142857,,,,,,,35
ns,,,,,,,0.8857142857142857,,,0.8857142857142857,0.2857142857142857,,,,,,,35
nt,,0.025,0.025,,,,0.6,,0.05,0.6,0.6,,,,,0.175,,40
o,,,,,,,0.717391304347826,,,1,0.3695652173913043,,,,,0.10869565217391304,0.021739130434782608,46
on,,0.003355704697986577,0.0016778523489932886,,,,0.8271812080536913,,0.0050335570469798654,0.8271812080536913,0.2936241610738255,,,,,0.07550335570469799,,596
or,,,,0.0057306590257879654,,,0.8882521489971347,,,0.8939828080229226,0.16905444126074498,,,,,0.04871060171919771,,349
ors,,,,,,,1.0,,,1.0,,,,,,,,19
ot,0.16666666666666666,,,,,,0.5,,,0.5,0.6666666666666666,,,,,0.16666666666666666,0.16666666666666666,6
p,0.020833333333333332,,,,,,0.3958333333333333,,,0.3958333333333333,0.7083333333333334,,,,,0.2708333333333333,0.041666666666666664,48
ph,,,,,,,0.7142857142857143,,,0.7142857142857143,0.7142857142857143,,,,,0.14285714285714285,,7
pus,,,,,,,1.0,,,1.0,,,,,,,,1
r,,,,,,,0.359375,,,0.359375,0.703125,,,,,0.328125,,64
rd,,,,,,,0.4375,,,0.4375,0.8125,,,,,0.125,,16
ri,,,0.03225806451612903,,,,0.8387096774193549,,0.03225806451612903,0.8387096774193549,0.16129032258064516,,,,,,,31
rie,,,,,,,1.0,,,1.0,,,,,,,,1
ro,,,,,,,0.9583333333333334,,,0.9583333333333334,0.08333333333333333,,,,,,,24
rols,,,,,,,1.0,,,1.0,,,,,,,,1
roms,,,,,,,1.0,,,1.0,,,,,,,,1
rs,,,,,,,0.9942528735632183,,,0.9942528735632183,0.022988505747126436,,,,,,,174
rt,,,,,,,0.2857142857142857,,,0.2857142857142857,0.8571428571428571,,,,,0.2857142857142857,,7
